x,y,z
-9.989345092773437784e+01,2.759451370239258239e+01,-7.072318077087402344e+00
-9.989345092773437784e+01,2.769451370239258381e+01,-7.071108341217041016e+00
-9.979345092773436932e+01,2.779451370239257812e+01,-7.070192337036132812e+00
-9.979345092773436932e+01,2.789451370239257955e+01,-7.068904876708984375e+00
-9.979345092773436932e+01,2.799451370239258097e+01,-7.067412376403808594e+00
-9.979345092773436932e+01,2.809451370239258239e+01,-7.066286563873291016e+00
-9.969345092773437500e+01,2.819451370239258381e+01,-7.064949512481689453e+00
-9.959345092773438068e+01,2.829451370239257812e+01,-7.063325881958007812e+00
-9.959345092773438068e+01,2.839451370239257955e+01,-7.060929298400878906e+00
-9.949345092773437216e+01,2.849451370239258097e+01,-7.058788776397705078e+00
-9.949345092773437216e+01,2.859451370239258239e+01,-7.056568622589111328e+00
-9.949345092773437216e+01,2.869451370239258381e+01,-7.054660797119140625e+00
-9.949345092773437216e+01,2.879451370239257812e+01,-7.052573204040527344e+00
-9.949345092773437216e+01,2.889451370239257955e+01,-7.051167964935302734e+00
-9.939345092773437784e+01,2.899451370239258097e+01,-7.050565242767333984e+00
-9.929345092773436932e+01,2.909451370239258239e+01,-7.044682979583740234e+00
-9.929345092773436932e+01,2.919451370239258381e+01,-7.038893699645996094e+00
-9.919345092773437500e+01,2.929451370239257812e+01,-7.031866073608398438e+00
-9.919345092773437500e+01,2.939451370239257955e+01,-7.025788307189941406e+00
-9.919345092773437500e+01,2.949451370239258097e+01,-7.022591590881347656e+00
-9.919345092773437500e+01,2.959451370239258239e+01,-7.021616458892822266e+00
-9.919345092773437500e+01,2.969451370239258381e+01,-7.019249439239501953e+00
-9.919345092773437500e+01,2.979451370239257812e+01,-7.018098354339599609e+00
-9.909345092773438068e+01,2.989451370239257955e+01,-7.014197349548339844e+00
-9.899345092773437216e+01,2.999451370239258097e+01,-7.011532783508300781e+00
-9.889345092773437784e+01,3.009451370239258239e+01,-7.009645462036132812e+00
-9.879345092773436932e+01,3.019451370239258381e+01,-7.007830619812011719e+00
-9.869345092773437500e+01,3.029451370239257812e+01,-7.006207942962646484e+00
-9.869345092773437500e+01,3.029451370239257812e+01,-7.006207942962646484e+00
-9.859345092773438068e+01,3.039451370239257955e+01,-7.003603458404541016e+00
-9.849345092773437216e+01,3.049451370239258097e+01,-6.999960899353027344e+00
-9.839345092773437784e+01,3.059451370239258239e+01,-6.995126247406005859e+00
-9.829345092773436932e+01,3.069451370239258381e+01,-6.991533756256103516e+00
-9.819345092773437500e+01,3.079451370239257812e+01,-6.988761425018310547e+00
-9.809345092773438068e+01,3.089451370239257955e+01,-6.982224464416503906e+00
-9.799345092773437216e+01,3.099451370239258097e+01,-6.978889942169189453e+00
-9.789345092773437784e+01,3.109451370239258239e+01,-6.978415012359619141e+00
-9.779345092773436932e+01,3.119451370239258381e+01,-6.977149009704589844e+00
-9.769345092773437500e+01,3.129451370239257812e+01,-6.974460124969482422e+00
-9.759345092773438068e+01,3.139451370239257955e+01,-6.968635082244873047e+00
-9.749345092773437216e+01,3.149451370239258097e+01,-6.963038921356201172e+00
-9.739345092773437784e+01,3.159451370239258239e+01,-6.959311008453369141e+00
-9.729345092773436932e+01,3.169451370239258381e+01,-6.952929973602294922e+00
-9.719345092773437500e+01,3.179451370239257812e+01,-6.945020675659179688e+00
-9.709345092773438068e+01,3.189451370239257955e+01,-6.936294555664062500e+00
-9.699345092773437216e+01,3.199451370239258097e+01,-6.928030490875244141e+00
-9.689345092773437784e+01,3.209451370239258239e+01,-6.922416210174560547e+00
-9.679345092773436932e+01,3.219451370239258381e+01,-6.916669845581054688e+00
-9.669345092773437500e+01,3.229451370239257812e+01,-6.910740852355957031e+00
-9.659345092773438068e+01,3.239451370239257955e+01,-6.905384540557861328e+00
-9.649345092773437216e+01,3.249451370239258097e+01,-6.900556087493896484e+00
-9.639345092773437784e+01,3.259451370239258239e+01,-6.894842624664306641e+00
-9.629345092773436932e+01,3.269451370239258381e+01,-6.890578269958496094e+00
-9.619345092773437500e+01,3.279451370239257812e+01,-6.885547161102294922e+00
-9.609345092773438068e+01,3.289451370239257955e+01,-6.881417751312255859e+00
-9.599345092773437216e+01,3.299451370239258097e+01,-6.877517223358154297e+00
-9.589345092773437784e+01,3.309451370239258239e+01,-6.874464511871337891e+00
-9.579345092773436932e+01,3.309451370239258239e+01,-6.872395038604736328e+00
-9.569345092773437500e+01,3.309451370239258239e+01,-6.871511459350585938e+00
-9.559345092773438068e+01,3.309451370239258239e+01,-6.871096134185791016e+00
-9.549345092773437216e+01,3.309451370239258239e+01,-6.870325565338134766e+00
-9.539345092773437784e+01,3.309451370239258239e+01,-6.869922637939453125e+00
-9.529345092773436932e+01,3.309451370239258239e+01,-6.869028091430664062e+00
-9.519345092773437500e+01,3.309451370239258239e+01,-6.868566036224365234e+00
-9.509345092773438068e+01,3.309451370239258239e+01,-6.867425918579101562e+00
-9.499345092773437216e+01,3.309451370239258239e+01,-6.866212844848632812e+00
-9.489345092773437784e+01,3.309451370239258239e+01,-6.863778114318847656e+00
-9.479345092773436932e+01,3.309451370239258239e+01,-6.861651420593261719e+00
-9.469345092773437500e+01,3.309451370239258239e+01,-6.859462261199951172e+00
-9.459345092773438068e+01,3.309451370239258239e+01,-6.857128620147705078e+00
-9.449345092773437216e+01,3.309451370239258239e+01,-6.853106975555419922e+00
-9.439345092773437784e+01,3.309451370239258239e+01,-6.849485397338867188e+00
-9.429345092773436932e+01,3.309451370239258239e+01,-6.846395969390869141e+00
-9.419345092773437500e+01,3.309451370239258239e+01,-6.840601921081542969e+00
-9.409345092773438068e+01,3.319451370239258381e+01,-6.830583572387695312e+00
-9.399345092773437216e+01,3.319451370239258381e+01,-6.824342250823974609e+00
-9.389345092773437784e+01,3.319451370239258381e+01,-6.822523117065429688e+00
